:a:,🅰
:b:,🅱
:o2:,🅾
:parking:,🅿
:sa:,🈂
:u6708:,🈷
:thermometer:,🌡
:white_sun_small_cloud:,🌤
:white_sun_cloud:,🌥
:white_sun_rain_cloud:,🌦
:cloud_rain:,🌧
:cloud_snow:,🌨
:cloud_lightning:,🌩
:cloud_tornado:,🌪
:fog:,🌫
:wind_blowing_face:,🌬
:hot_pepper:,🌶
:fork_knife_plate:,🍽
:military_medal:,🎖
:reminder_ribbon:,🎗
:microphone2:,🎙
:level_slider:,🎚
:control_knobs:,🎛
:film_frames:,🎞
:tickets:,🎟
:motorcycle:,🏍
:race_car:,🏎
:mountain_snow:,🏔
:camping:,🏕
:beach:,🏖
:construction_site:,🏗
:homes:,🏘
:cityscape:,🏙
:house_abandoned:,🏚
:classical_building:,🏛
:desert:,🏜
:island:,🏝
:park:,🏞
:stadium:,🏟
:flag_white:,🏳
:rosette:,🏵
:label:,🏷
:chipmunk:,🐿
:eye_in_speech_bubble:,👁‍🗨
:eye:,👁
:projector:,📽
:om_symbol:,🕉
:dove:,🕊
:candle:,🕯
:clock:,🕰
:hole:,🕳
:dark_sunglasses:,🕶
:spider:,🕷
:spider_web:,🕸
:joystick:,🕹
:paperclips:,🖇
:pen_ballpoint:,🖊
:pen_fountain:,🖋
:paintbrush:,🖌
:crayon:,🖍
:desktop:,🖥
:printer:,🖨
:mouse_three_button:,🖱
:trackball:,🖲
:frame_photo:,🖼
:dividers:,🗂
:card_box:,🗃
:file_cabinet:,🗄
:wastebasket:,🗑
:notepad_spiral:,🗒
:calendar_spiral:,🗓
:compression:,🗜
:key2:,🗝
:newspaper2:,🗞
:dagger:,🗡
:speaking_head:,🗣
:speech_left:,🗨
:anger_right:,🗯
:ballot_box:,🗳
:map:,🗺
:couch:,🛋
:shopping_bags:,🛍
:bellhop:,🛎
:bed:,🛏
:tools:,🛠
:shield:,🛡
:oil:,🛢
:motorway:,🛣
:railway_track:,🛤
:motorboat:,🛥
:airplane_small:,🛩
:satellite_orbital:,🛰
:cruise_ship:,🛳
:bangbang:,‼
:interrobang:,⁉
:information_source:,ℹ
:left_right_arrow:,↔
:arrow_up_down:,↕
:arrow_upper_left:,↖
:arrow_upper_right:,↗
:arrow_lower_right:,↘
:arrow_lower_left:,↙
:leftwards_arrow_with_hook:,↩
:arrow_right_hook:,↪
:hash:,#⃣
:keyboard:,⌨
:eject:,⏏
:track_next:,⏭
:track_previous:,⏮
:play_pause:,⏯
:stopwatch:,⏱
:timer:,⏲
:pause_button:,⏸
:stop_button:,⏹
:record_button:,⏺
:m:,Ⓜ
:black_small_square:,▪
:white_small_square:,▫
:arrow_forward:,▶
:arrow_backward:,◀
:white_medium_square:,◻
:black_medium_square:,◼
:sunny:,☀
:cloud:,☁
:umbrella2:,☂
:snowman2:,☃
:comet:,☄
:telephone:,☎
:ballot_box_with_check:,☑
:shamrock:,☘
:skull_crossbones:,☠
:radioactive:,☢
:biohazard:,☣
:orthodox_cross:,☦
:star_and_crescent:,☪
:peace:,☮
:yin_yang:,☯
:wheel_of_dharma:,☸
:frowning2:,☹
:relaxed:,☺
:spades:,♠
:clubs:,♣
:hearts:,♥
:diamonds:,♦
:hotsprings:,♨
:recycle:,♻
:hammer_pick:,⚒
:crossed_swords:,⚔
:scales:,⚖
:alembic:,⚗
:gear:,⚙
:atom:,⚛
:fleur_de_lis:,⚜
:warning:,⚠
:coffin:,⚰
:urn:,⚱
:thunder_cloud_rain:,⛈
:pick:,⛏
:helmet_with_cross:,⛑
:chains:,⛓
:shinto_shrine:,⛩
:mountain:,⛰
:beach_umbrella:,⛱
:ferry:,⛴
:skier:,⛷
:ice_skate:,⛸
:scissors:,✂
:airplane:,✈
:envelope:,✉
:pencil2:,✏
:black_nib:,✒
:heavy_check_mark:,✔
:heavy_multiplication_x:,✖
:cross:,✝
:star_of_david:,✡
:eight_spoked_asterisk:,✳
:eight_pointed_black_star:,✴
:snowflake:,❄
:sparkle:,❇
:heart_exclamation:,❣
:heart:,❤
:arrow_right:,➡
:arrow_heading_up:,⤴
:arrow_heading_down:,⤵
:asterisk:,*⃣
:arrow_left:,⬅
:arrow_up:,⬆
:arrow_down:,⬇
:zero:,0⃣
:wavy_dash:,〰
:part_alternation_mark:,〽
:one:,1⃣
:two:,2⃣
:congratulations:,㊗
:secret:,㊙
:three:,3⃣
:four:,4⃣
:five:,5⃣
:six:,6⃣
:seven:,7⃣
:eight:,8⃣
:nine:,9⃣
